Family,Action / Sub-line,Topic ID 2026,Manager,Amount (EUR),Amount Type,Duration,EU Funding Rate,Deadline 2027 (speculative),Practical Implication / Notes
Capacity Building Sport,CB Sport (Region 1+2),ERASMUS-SPORT-2027-CB,EACEA,"100,000 €",Min budget-based,12-36 months,80%,5 March 2027 (speculative),"Min of the 100k-200k range. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building Sport,CB Sport (Region 1+2),ERASMUS-SPORT-2027-CB,EACEA,"200,000 €",Max budget-based,12-36 months,80%,5 March 2027 (speculative),"Max of the 100k-200k range. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Not-for-profit Sport Events,European Local event Type I,ERASMUS-SPORT-2027-SNCESE,EACEA,"200,000 €",Pre-defined lump sum,12 or 18 months,Pre-fixed lump sum,22 January 2027 (speculative),3-5 orgs from 3-5 countries. Total project cost expected higher than lump sum.
Not-for-profit Sport Events,European Local event Type II,ERASMUS-SPORT-2027-SNCESE,EACEA,"300,000 €",Pre-defined lump sum,12 or 18 months,Pre-fixed lump sum,22 January 2027 (speculative),Min 6 orgs from 6 countries. Total project cost expected higher than lump sum.
Not-for-profit Sport Events,European-wide event,ERASMUS-SPORT-2027-SNCESE,EACEA,"450,000 €",Pre-defined lump sum,12 or 18 months,Pre-fixed lump sum,22 January 2027 (speculative),Min 10 orgs from 10 countries. Total project cost expected higher than lump sum.
Not-for-profit Sport Events,Large-Scale European event (min),ERASMUS-SPORT-2027-LSSNCESE,EACEA,"1,000,000 €",Min fixed lump sum,12 or 18 months,Pre-fixed lump sum,22 January 2027 (speculative),Min 15 orgs from 15 countries. Total project cost expected higher than lump sum.
Not-for-profit Sport Events,Large-Scale European event (max),ERASMUS-SPORT-2027-LSSNCESE,EACEA,"1,500,000 €",Max fixed lump sum,12 or 18 months,Pre-fixed lump sum,22 January 2027 (speculative),Min 15 orgs from 15 countries. Total project cost expected higher than lump sum.
Cooperation Partnerships (Sport),Sport CP - small,ERASMUS-SPORT-2027-SCP,EACEA,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),3 fixed amounts. Total project cost expected HIGHER than lump sum.
Cooperation Partnerships (Sport),Sport CP - medium,ERASMUS-SPORT-2027-SCP,EACEA,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),3 fixed amounts. Total project cost expected HIGHER than lump sum.
Cooperation Partnerships (Sport),Sport CP - large,ERASMUS-SPORT-2027-SCP,EACEA,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),3 fixed amounts. Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (Sport),Sport SSP - small,ERASMUS-SPORT-2027-SSCP,EACEA,"30,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),2 fixed amounts. Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (Sport),Sport SSP - medium,ERASMUS-SPORT-2027-SSCP,EACEA,"60,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),2 fixed amounts. Total project cost expected HIGHER than lump sum.
Capacity Building VET,CB VET Western Balkans,ERASMUS-EDU-2027-CB-VET-WB,EACEA,"500,000 €",Max budget-based,36 months,80%,26 March 2027 (speculative),"No minimum. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building VET,CB VET Neighbourhood East,ERASMUS-EDU-2027-CB-VET-NE,EACEA,"500,000 €",Max budget-based,36 months,80%,26 March 2027 (speculative),"No minimum. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building VET,CB VET South-Mediterranean,ERASMUS-EDU-2027-CB-VET-SMC,EACEA,"500,000 €",Max budget-based,36 months,80%,26 March 2027 (speculative),"No minimum. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building VET,CB VET Sub-Saharan Africa,ERASMUS-EDU-2027-CB-VET-SSA,EACEA,"500,000 €",Max budget-based,36 months,80%,26 March 2027 (speculative),"No minimum. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building VET,CB VET Latin America,ERASMUS-EDU-2027-CB-VET-LA,EACEA,"500,000 €",Max budget-based,36 months,80%,26 March 2027 (speculative),"No minimum. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building VET,CB VET Caribbean,ERASMUS-EDU-2027-CB-VET-CA,EACEA,"500,000 €",Max budget-based,36 months,80%,26 March 2027 (speculative),"No minimum. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building Youth,CBY Western Balkans,ERASMUS-YOUTH-2027-CB-WB,EACEA,"300,000 €",Max budget-based,12-36 months,80%,26 February 2027 (speculative),"Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building Youth,CBY Neighbourhood East,ERASMUS-YOUTH-2027-CB-NE,EACEA,"300,000 €",Max budget-based,12-36 months,80%,26 February 2027 (speculative),"Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building Youth,CBY South-Mediterranean,ERASMUS-YOUTH-2027-CB-SMC,EACEA,"300,000 €",Max budget-based,12-36 months,80%,26 February 2027 (speculative),"Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Capacity Building Youth,CBY Sub-Saharan Africa,ERASMUS-YOUTH-2027-CB-SSA,EACEA,"450,000 €",Max budget-based,12-36 months,80%,26 February 2027 (speculative),"Includes Youth Exchanges. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
KA3 European Youth Together,EYT,ERASMUS-YOUTH-2027-YOUTH-TOG,EACEA,"500,000 €",Max budget-based,24 months,80%,26 February 2027 (speculative),"Min 5 partners from 5 countries. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Cooperation Partnerships (KA220),School Education (KA220-SCH),KA220-SCH-2027,National Agency,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),School Education (KA220-SCH),KA220-SCH-2027,National Agency,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),School Education (KA220-SCH),KA220-SCH-2027,National Agency,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),VET (KA220-VET),KA220-VET-2027,National Agency,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),VET (KA220-VET),KA220-VET-2027,National Agency,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),VET (KA220-VET),KA220-VET-2027,National Agency,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Higher Education (KA220-HED),KA220-HED-2027,National Agency,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Higher Education (KA220-HED),KA220-HED-2027,National Agency,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Higher Education (KA220-HED),KA220-HED-2027,National Agency,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Adult Education (KA220-ADU),KA220-ADU-2027,National Agency,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Adult Education (KA220-ADU),KA220-ADU-2027,National Agency,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Adult Education (KA220-ADU),KA220-ADU-2027,National Agency,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Youth (KA220-YOU),KA220-YOU-2027,National Agency,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (KA220),Youth (KA220-YOU),KA220-YOU-2027,National Agency,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
